date,pm2.5,DEWP,TEMP,PRES,Iws
20100101,0,-18.75,-6.75,1017.083333,14.45833333
20100102,145.9583333,-8.5,-5.125,1024.75,24.86
20100103,78.83333333,-10.125,-8.541666667,1022.791667,70.93791667
20100104,31.33333333,-20.875,-11.5,1029.291667,111.1608333
20100105,42.45833333,-24.58333333,-14.45833333,1033.625,56.92
20100106,56.41666667,-23.70833333,-12.54166667,1033.75,18.51166667
20100107,69,-21.25,-12.5,1034.083333,10.17
20100108,176.2083333,-17.125,-11.70833333,1028,1.972916667
20100109,88.5,-16.33333333,-9.125,1029.041667,13.29875
20100110,57.25,-15.95833333,-8.75,1032.5,17.41583333
20100111,20,-20.70833333,-8.708333333,1034.333333,41.68583333
20100112,20.75,-23.54166667,-12.41666667,1030.708333,60.37833333
20100113,40.20833333,-21.95833333,-10,1030.458333,169.7541667
20100114,93.70833333,-17.625,-9.5,1025.208333,13.23875
20100115,45.45833333,-17.16666667,-7.041666667,1036.833333,12.38166667
20100116,177.625,-13.5,-8.416666667,1033.041667,2.677916667
20100117,209.2083333,-12.08333333,-7.25,1028.833333,4.134583333
20100118,260.2083333,-9.666666667,-4.916666667,1026.75,4.91625
20100119,340.75,-3.791666667,0.291666667,1020.666667,4.788333333
20100120,85.33333333,-11.04166667,-1.166666667,1030.208333,34.48125
20100121,27.04166667,-21.16666667,-6.125,1036.375,59.07083333
20100122,29.41666667,-18.79166667,-4.583333333,1034.375,93.06208333
20100123,23.17647059,-17.70833333,-1.916666667,1028,43.89208333
20100124,0,-17.25,-3.416666667,1021.416667,31.69583333
20100125,0,-21.875,-3.041666667,1032.5,146.2020833
20100126,195.5833333,-15.375,-5.666666667,1024.708333,3.146666667
20100127,122.3333333,-11.70833333,1.125,1016.208333,24.70708333
20100128,21.16666667,-19.125,-1.208333333,1026.166667,41.2725
20100129,23.875,-21.625,0.625,1022.833333,44.32833333
20100130,44.29166667,-18.70833333,1.958333333,1019.541667,40.01583333
20100131,39.25,-15.79166667,1.333333333,1024.208333,62.51041667
20100201,64.79166667,-10.08333333,-2.875,1026.75,13.03791667
20100202,65.625,-16.29166667,-5.416666667,1028.291667,5.959583333
20100203,77.54166667,-19.95833333,-5.166666667,1028.5,14.9175
20100204,58.5,-20.5,-5.041666667,1026.791667,5.60625
20100205,78.45833333,-14.33333333,-4.083333333,1029.833333,4.731666667
20100206,76.125,-10.45833333,-5,1030.541667,22.81875
20100207,109.1666667,-6.5,-4.333333333,1022.666667,5.770833333
20100208,178.0833333,-5.25,-1.541666667,1019.208333,3.257916667
20100209,157.25,-9.833333333,0.041666667,1023.791667,3.295416667
20100210,12.41666667,-22.29166667,-1.583333333,1030.958333,40.35833333
20100211,14.33333333,-22.125,-3.666666667,1035.708333,27.06041667
20100212,23.08333333,-21.54166667,-5.208333333,1034.916667,6.852916667
20100213,78.08333333,-17.83333333,-4.583333333,1028.791667,8.958333333
20100214,103.3913043,-20,-4.208333333,1032.541667,9.107916667
20100215,30,-22.29166667,-5.541666667,1035.125,5.977083333
20100216,93.58333333,-16.95833333,-5.375,1030.208333,7.5025
20100217,67.29166667,-19.08333333,-2.291666667,1026.25,43.6575
20100218,79.66666667,-19,-2.041666667,1023.708333,4.61625
20100219,112.9583333,-15.58333333,0.083333333,1016.625,3.7375
20100220,178.5,-10.29166667,0.875,1012.708333,3.64875
20100221,125.75,-9.708333333,4.208333333,1013.291667,14.58541667
20100222,94.5,-7.791666667,0.083333333,1018.583333,20.10125
20100223,166.5,-6.541666667,0.083333333,1007.333333,1.655416667
20100224,277.7083333,-2.5,4.375,1004.208333,9.555
20100225,169.625,-1.333333333,3.916666667,1015.625,21.90333333
20100226,69.875,-6.791666667,1.833333333,1020.875,35.40375
20100227,76.41666667,-6.375,-1.25,1019.5,18.31708333
20100228,83.58333333,-7.125,-0.125,1022.416667,14.67541667
20100301,57.91666667,-5.041666667,-2.541666667,1022.833333,42.0125
20100302,90.08333333,-8.458333333,1.625,1021.166667,23.54875
20100303,157.875,-6.208333333,1.666666667,1022.875,7.114583333
20100304,186.0833333,-3.458333333,2.416666667,1015.5,7.937083333
20100305,31.33333333,-20.33333333,0.541666667,1026.958333,50.30583333
20100306,50.04166667,-17.33333333,-2,1033.666667,31.55333333
20100307,87.25,-10.25,-2.458333333,1035.25,11.64333333
20100308,48.33333333,-6.875,-3.333333333,1039.5,14.1075
20100309,18,-17.95833333,-3.375,1035.375,97.55083333
20100310,59.58333333,-13.70833333,0.75,1021.375,11.47041667
20100311,171.625,-7.791666667,2.208333333,1009.416667,4.4875
20100312,49.20833333,-14.29166667,5.541666667,1017.416667,26.33833333
20100313,62.125,-9.75,2.875,1026.375,21.70791667
20100314,83.875,-3.541666667,0.25,1020.916667,10.34
20100315,64.5,-9.75,1.583333333,1023.208333,61.10291667
20100316,64.25,-10.79166667,0.5,1023.208333,4.0425
20100317,40.79166667,-12.83333333,3,1026.333333,16.01833333
20100318,157.6666667,-3.291666667,0.583333333,1020.041667,4.840833333
20100319,228.4166667,1.791666667,4.375,1003.5,3.031666667
20100320,168.1818182,-6.916666667,6.958333333,1008.375,83.04875
20100321,68.91666667,-8.041666667,7.458333333,1013.75,18.905
20100322,162.9565217,-8,8.625,1014.041667,35.65958333
20100323,52.125,-7.75,7.625,1020.958333,28.82625
20100324,62.83333333,-6.541666667,6.75,1022.333333,20.00041667
20100325,30.41666667,-11,4.375,1026.041667,13.76166667
20100326,67.70833333,-10.75,6.5,1019.041667,9.479583333
20100327,72.33333333,-8.541666667,5.875,1025.25,16.48458333
20100328,71.79166667,-7.166666667,6.541666667,1026.458333,14.47458333
20100329,213.7083333,-0.208333333,7.541666667,1023.458333,11.34416667
20100330,256.8571429,6.5,8.5,1017.125,9.686666667
20100331,122.2222222,1.666666667,11.125,1014.416667,10.89291667
20100401,28.04545455,-16.66666667,8.666666667,1020.125,123.8975
20100402,30.75,-15.25,6.541666667,1020.375,38.605
20100403,101.2083333,-7.416666667,7.916666667,1016.916667,21.94166667
20100404,123.5,-4.791666667,13.83333333,1009.625,7.189583333
20100405,135.0833333,1.708333333,10.91666667,1014,10.46875
20100406,20.375,-12.29166667,10.5,1025.333333,17.05916667
20100407,92.875,-5.916666667,11.91666667,1020.041667,26.17
20100408,106,0.875,14.58333333,1008.25,109.4975
20100409,85.91666667,2.25,11.16666667,1011.458333,19.20375
